"CntryResdnc","Age","Gender","Kids","Education","WorkStatus","AnnualIncome","CurrOccption","PostHeldYrs","PostHeldMths","CmmuntySize","MaritlStatus","SonsCnt","DaughtersCnt","D1DsnTmeWst","D2DelayActn","D3HesitatDsn","D4DelayDsn","D5PutoffDsn","A1BillsOnTm","A2OnTm4Appt","A3Rdy4NxtDy","A4RuningLate","A5ActvtDlyd","A6TmeMgmtTrg","A7FrndsOpn","A8ImpTskOnTm","A9MissDedlns","A10RnOutOfTm","A11DrAptOnTm","A12MorPnctul","A13RtneMntnc","A14SchdulLte","A15DldActCst","G1LteToTsk","G2LteTktPrch","G3PlnPrtyAhd","G4GetUpOnTme","G5PstLtrOnTm","G6RtrnCalls","G7DlyEsyTsks","G8PrmptDscsn","G9DlyTskStrt","G10TrvlRsh","G11RdyOnTme","G12StayOnTsk","G13SmlBlOnTm","G14PrmptRSVP","G15TskCmpErl","G16LstMntGft","G17DlyEsntPr","G18DyTskCmpl","G19PshTskTmr","G20CmpTskRlx","S1LfClsI2dl","S2LfCndExlnt","S3StsfdWtLf","S4GtImThgsLf","S5LvAgChgNth","CnsdrSlfProc","OthCsndrProc","DPMean","AIPMean","GPMean","SWLSMean","HDI","HumDev_Categ"
"United States",22,"Female","Yes Kids","ltuni","full-time",35000,"pharmacy tech.",3,4,"Medium-Sized","Single",2,1,3,3,4,4,3,3,2,2,4,3,3,2,3,3,3,3,3,4,3,4,4,3,4,3,3,2,3,3,3,3,3,3,3,2,5,4,4,3,3,3,1,3,3,3,1,"yes","no",3.4,3,3.2,2.2,0.92,"VHigh"
"United States",28,"Male","No Kids","ltuni","student",-0.01,"Missing",2,6,"Small Town","Single",0,0,5,4,3,3,3,4,3,5,2,3,2,1,3,3,3,3,3,3,2,3,2,1,3,5,2,3,3,3,4,3,3,2,4,3,3,3,2,4,2,3,3,3,3,3,3,"yes","yes",3.6,2.86666666666667,2.9,3,0.92,"VHigh"
"United States",37.5,"Female","Yes Kids","ltuni","student",-0.01,"Missing",0,0,"Large-City","Single",2,1,5,5,5,5,5,2,1,4,3,4,5,5,4,3,3,1,1,5,1,4,5,5,1,2,5,3,5,3,5,4,2,5,3,5,4,5,5,4,5,2,3,3,1,1,1,"yes","yes",5,3.06666666666667,3.9,1.8,0.92,"VHigh"
"United States",28,"Male","No Kids","grade","student",10000,"Missing",3,0,"Large-City","Single",0,0,5,3,5,2,2,1,1,3,3,1,3,4,1,3,3,1,3,3,2,5,5,1,3,4,2,3,1,2,2,4,5,3,2,3,1,3,3,3,4,3,5,5,4,4,3,"no","yes",3.4,2.46666666666667,2.85,4.2,0.92,"VHigh"
"United States",32.5,"Male","No Kids","dip","full-time",67500,"operations manager",7,0,"Medium-Sized","Married",0,0,4,3,4,3,3,2,1,2,2,3,3,4,3,2,3,3,2,3,1,2,3,2,2,1,3,3,2,4,3,2,2,3,3,4,3,4,3,3,4,3,3,3,4,4,4,"yes","yes",3.4,2.4,2.85,3.6,0.92,"VHigh"
"United States",32.5,"Female","Yes Kids","deg","full-time",55000,"Speech and language Assistant",3,8,"Medium-Sized","Separated",1,1,4,5,4,1,1,3,2,3,3,3,4,1,3,3,2,1,3,2,3,4,3,1,1,5,1,3,3,4,3,2,2,2,4,2,4,4,3,3,2,4,2,3,3,4,3,"yes","no",3,2.66666666666667,2.8,3,0.92,"VHigh"
"United States",25,"Female","No Kids","deg","student",10000,"Missing",0,0,"Small City","Single",0,0,3,4,2,2,2,2,2,3,3,4,4,4,3,4,4,1,4,1,3,4,4,2,2,2,4,4,4,2,5,3,4,4,3,3,4,3,3,4,4,3,3,3,3,4,2,"yes","yes",2.6,3.06666666666667,3.35,3,0.92,"VHigh"
"United States",67.5,"Female","Yes Kids","ltuni","full-time",45000,"engineer",9,0,"Large-City","Divorced",1,3,5,5,4,4,4,1,1,3,5,5,2,2,4,3,3,4,3,1,3,5,5,3,3,1,4,3,4,2,4,3,3,4,2,2,3,2,3,5,4,4,3,4,4,4,3,"yes","yes",4.4,3,3.2,3.6,0.92,"VHigh"
"United States",32.5,"Male","No Kids","deg","full-time",67500,"Missing",7,0,"Medium-Sized","Married",0,0,4,3,4,3,2,4,1,3,2,3,2,3,4,3,3,3,2,3,1,2,4,2,3,1,3,3,3,4,3,2,4,3,2,3,3,4,4,3,5,3,3,3,3,4,3,"yes","yes",3.2,2.6,3.1,3.2,0.92,"VHigh"
"United States",19,"Female","No Kids","ltuni","student",10000,"Missing",1,0,"Small Town","Single",0,0,4,4,4,4,4,2,2,3,3,3,2,3,3,4,5,4,4,4,3,3,4,3,4,5,3,3,4,4,5,2,3,4,3,4,5,5,3,5,5,5,3,3,4,3,5,"yes","yes",4,3.2,3.95,3.6,0.92,"VHigh"
"United States",21,"Female","No Kids","ma","retired",15000,"writer",0,0,"Small Town","Widowed",0,0,3,1,2,3,3,3,5,5,1,4,1,4,4,1,3,4,4,2,4,1,3,1,4,4,2,2,4,4,3,4,2,2,5,1,1,1,1,5,2,4,4,3,4,4,4,"no","Missing",2.4,3.06666666666667,2.75,3.8,0.92,"VHigh"
"United States",37.5,"Female","Yes Kids","ma","student",67500,"Missing",6,0,"Medium-Sized","Married",0,3,3,4,3,3,3,2,1,2,2,3,2,2,4,3,4,3,1,5,1,4,4,3,3,3,5,3,4,4,4,1,4,5,4,3,4,3,3,4,4,2,4,4,4,5,5,"yes","no",3.2,2.6,3.5,4.4,0.92,"VHigh"
"United States",45,"Female","No Kids","phd","full-time",67500,"Assistant Professor",1,3,"Large-City","Married",0,0,3,2,2,2,2,2,3,5,4,2,1,4,4,2,3,2,4,4,4,3,3,2,3,4,2,3,2,3,2,4,4,2,2,3,4,5,3,2,3,2,4,4,4,4,3,"yes","no",2.2,3.13333333333333,2.9,3.8,0.92,"VHigh"
"United States",45,"Female","No Kids","deg","full-time",67500,"Missing",28,0,"Small City","Divorced",0,0,2,2,1,1,1,1,4,1,4,2,1,1,2,1,2,3,5,1,4,1,4,1,1,5,1,1,1,2,2,2,4,4,1,4,1,4,1,3,2,1,3,4,5,5,2,"no","no",1.4,2.2,2.25,3.8,0.92,"VHigh"
"United States",22,"Male","No Kids","deg","student",-0.01,"Missing",NA,0,"Medium-Sized","Single",0,0,4,3,3,3,2,1,1,3,1,2,1,4,3,2,2,2,2,2,2,3,4,1,2,3,3,4,1,3,4,1,3,3,1,3,2,1,1,3,2,3,3,2,4,3,3,"yes","yes",3,2.06666666666667,2.4,3,0.92,"VHigh"
"United States",45,"Male","Yes Kids","phd","full-time",35000,"manager",10,0,"Large-City","Married",0,3,4,4,4,3,3,2,2,2,2,4,4,4,4,3,4,4,3,2,2,3,4,1,2,3,3,3,4,3,4,1,3,4,2,3,4,3,2,4,4,4,2,4,3,3,1,"yes","no",3.6,3,3.05,2.6,0.92,"VHigh"
"United States",80,"Male","Yes Kids","deg","retired",67500,"Missing",0,0,"Large-City","Widowed",1,1,3,3,2,2,2,1,1,1,2,2,4,1,3,2,3,1,1,2,1,1,3,1,2,2,1,2,1,3,4,1,2,2,1,1,3,4,4,4,3,4,4,4,4,4,2,"yes","no",2.4,1.73333333333333,2.4,3.6,0.92,"VHigh"
"United States",25,"Female","No Kids","phd","student",35000,"Missing",3,0,"Large Town","Married",0,0,5,5,3,2,4,3,1,1,2,4,1,1,3,1,5,5,2,5,2,5,5,2,2,5,5,5,5,3,4,3,3,2,4,5,3,4,4,5,4,4,4,4,4,4,4,"yes","no",3.8,2.73333333333333,3.85,4,0.92,"VHigh"
"United States",25,"Female","No Kids","ltuni","unemployed",10000,"Unemployed",0,5,"Small Town","Single",0,0,4,5,5,4,5,2,2,2,3,5,5,5,5,3,5,3,4,5,2,5,5,3,5,4,5,5,5,4,5,4,5,4,3,3,5,5,5,5,5,5,2,2,2,3,3,"yes","yes",4.6,3.73333333333333,4.5,2.4,0.92,"VHigh"
"United States",20,"Male","No Kids","ltuni","student",10000,"clerk",4,0,"Large Town","Divorced",0,0,4,3,4,3,3,1,1,1,3,5,5,5,5,3,5,2,3,1,1,3,5,3,3,3,5,2,5,3,5,3,3,4,1,2,5,3,2,5,5,4,3,4,4,3,2,"yes","yes",3.4,2.93333333333333,3.55,3.2,0.92,"VHigh"
"United States",24,"Female","No Kids","deg","student",10000,"Assistant Professor",1,1,"Small Town","Single",0,0,2,2,1,1,1,2,1,2,3,2,3,4,4,2,2,2,2,2,2,3,3,2,2,1,1,2,2,3,2,1,3,3,3,1,3,2,2,2,2,2,5,5,5,5,5,"yes","yes",1.4,2.4,2.1,5,0.92,"VHigh"
"United States",80,"Female","Yes Kids","ma","part-time",35000,"adjunct faculty / University + communit",30,0,"Medium-Sized","Widowed",4,0,3,1,2,1,1,2,3,5,4,4,3,5,4,1,3,2,4,2,4,3,3,1,5,1,1,2,4,4,4,4,3,3,2,2,4,4,4,3,5,5,5,5,5,5,5,"yes","yes",1.6,3.26666666666667,3.2,5,0.92,"VHigh"
"United States",25,"Male","No Kids","ltuni","student",15000,"student/retail",1,0,"Medium-Sized","Single",0,0,2,3,3,2,2,2,3,3,3,3,3,4,3,2,3,3,4,3,3,3,3,1,3,4,2,2,3,3,3,2,3,3,3,2,3,4,4,2,3,3,4,4,4,4,3,"yes","yes",2.4,3,2.8,3.8,0.92,"VHigh"
"United States",25,"Male","No Kids","ma","full-time",35000,"Career Placement Associate",0,8,"Small City","Single",0,0,3,4,3,2,2,1,2,2,4,3,3,4,3,2,3,3,4,3,3,3,3,2,3,5,3,3,3,4,4,4,2,3,3,3,3,4,3,3,3,4,4,4,4,5,3,"yes","yes",2.8,2.86666666666667,3.25,4,0.92,"VHigh"
"United States",55,"Female","Yes Kids","ltuni","part-time",-0.01,"steamship agent",8,0,"Small Town","Widowed",2,1,3,2,3,2,2,3,3,2,4,4,5,4,3,2,3,1,4,2,4,5,3,2,1,2,4,2,3,3,3,1,3,2,3,2,2,3,2,3,3,2,3,3,3,4,3,"yes","no",2.4,3.26666666666667,2.45,3.2,0.92,"VHigh"
"United States",37.5,"Female","No Kids","deg","full-time",67500,"sales manager",2,0,"Large Town","Married",0,0,4,4,4,3,3,4,3,4,3,2,1,4,3,2,3,3,3,4,2,3,4,3,4,4,4,4,4,4,4,2,3,4,4,4,3,4,4,4,4,4,2,3,3,4,3,"yes","no",3.6,2.93333333333333,3.75,3,0.92,"VHigh"
"United States",19,"Female","No Kids","high","student",-0.01,"Missing",0,0,"Small Town","Missing",0,0,4,4,4,3,2,1,1,2,2,4,4,3,2,1,1,1,2,1,5,3,4,5,2,2,4,1,4,2,2,1,3,4,1,4,3,4,4,3,5,3,4,5,4,3,1,"yes","no",3.4,2.2,3.05,3.4,0.92,"VHigh"
"United States",19,"Male","No Kids","ltuni","student",-0.01,"Missing",0,9,"Large-City","Single",0,0,5,5,4,5,5,2,2,5,2,2,2,1,4,2,4,2,1,4,2,4,5,5,3,4,4,5,4,5,3,2,2,5,2,4,4,3,4,4,5,4,2,4,2,2,2,"yes","no",4.8,2.6,3.85,2.4,0.92,"VHigh"
"United States",55,"Female","Yes Kids","deg","full-time",55000,"Education Specialist",5,0,"Medium-Sized","Divorced",2,0,5,4,2,4,4,3,5,2,5,5,3,5,5,5,5,3,5,5,5,5,5,1,2,4,3,3,5,5,5,4,1,5,5,5,5,5,5,3,2,1,1,1,1,5,3,"yes","yes",3.8,4.4,3.7,2.2,0.92,"VHigh"
"United States",45,"Male","No Kids","ma","full-time",150000,"Attorney",28,0,"Large-City","Married",0,0,4,4,4,4,4,2,3,2,4,4,4,5,5,4,4,2,4,2,3,5,5,1,3,2,1,2,2,3,4,4,5,4,2,3,3,4,4,5,4,4,3,3,3,3,1,"yes","yes",4,3.53333333333333,3.25,2.6,0.92,"VHigh"
"United States",19,"Female","No Kids","ltuni","student",10000,"Nanny",4,0,"Medium-Sized","Single",0,0,3,2,1,1,1,1,2,1,3,1,1,4,2,1,4,1,3,1,3,1,3,1,1,5,2,2,2,1,3,3,4,3,1,1,4,3,3,3,2,1,5,5,4,3,5,"no","no",1.6,1.93333333333333,2.4,4.4,0.92,"VHigh"
"United States",55,"Female","Yes Kids","ltuni","retired",67500,"Missing",0,0,"Medium-Sized","Married",2,0,5,5,5,3,3,5,2,5,3,3,3,3,3,4,4,3,2,3,2,4,4,4,5,5,1,5,4,4,5,4,4,5,4,4,3,5,5,4,5,4,3,3,2,2,2,"yes","yes",4.2,3.26666666666667,4.2,2.4,0.92,"VHigh"
"United States",22,"Male","No Kids","deg","student",15000,"Graduate Assistant",0,8,"Medium-Sized","Single",0,0,5,5,4,5,5,5,1,2,5,5,5,5,5,5,5,4,5,4,2,5,5,5,5,4,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.8,4.2,4.8,1,0.92,"VHigh"
"United States",37.5,"Male","No Kids","phd","full-time",67500,"Assistant Professor",3,11,"Large-City","Single",0,0,3,3,3,2,2,2,2,4,3,3,2,4,4,3,3,3,2,4,3,4,4,2,3,4,4,3,3,3,3,2,3,3,4,4,4,4,4,4,4,4,1,2,2,2,1,"yes","yes",2.6,3.06666666666667,3.45,1.6,0.92,"VHigh"
"United States",32.5,"Male","Yes Kids","ma","student",45000,"Missing",5,0,"Large-City","Married",1,0,2,4,2,2,2,1,1,2,2,4,4,2,4,4,4,2,3,2,2,3,4,1,2,3,2,3,3,2,4,2,2,4,2,3,3,2,3,4,4,4,5,4,4,5,5,"yes","no",2.4,2.66666666666667,2.85,4.6,0.92,"VHigh"
"United States",67.5,"Male","Yes Kids","ltuni","part-time",55000,"Missing",30,0,"Medium-Sized","Married",2,1,4,4,4,3,3,1,2,4,4,4,3,3,4,4,4,3,3,4,2,4,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,5,4,5,4,4,4,3,4,4,1,"yes","yes",3.6,3.26666666666667,3.9,3.2,0.92,"VHigh"
"United States",67.5,"Male","Yes Kids","phd","retired",250000,"Missing",0,0,"Large Town","Married",1,2,2,2,4,3,3,1,1,5,3,2,1,3,1,2,3,4,5,4,1,3,2,1,1,1,1,1,1,2,2,1,4,2,1,1,1,2,1,3,2,2,5,5,5,5,5,"yes","no",2.8,2.6,1.6,5,0.92,"VHigh"
"United States",55,"Male","No Kids","deg","full-time",87500,"Financial Advisor",5,0,"Large-City","Married",0,0,4,4,4,3,3,1,1,5,2,3,3,3,4,3,4,1,1,2,1,3,3,1,1,2,2,3,3,4,4,1,2,4,1,3,4,4,3,5,3,4,3,3,3,3,2,"yes","yes",3.6,2.46666666666667,2.85,2.8,0.92,"VHigh"
"United States",67.5,"Male","No Kids","ma","part-time",45000,"Press Officer",9,0,"Medium-Sized","Missing",0,0,2,3,1,1,1,1,1,5,2,2,1,2,3,1,1,1,1,4,1,1,4,1,1,1,5,2,4,2,4,1,1,4,3,2,4,2,2,2,4,4,4,4,4,4,4,"yes","no",1.6,1.8,2.65,4,0.92,"VHigh"
"United States",32.5,"Female","Yes Kids","ltuni","unemployed",45000,"Clinical Trial Assistant",4,0,"Medium-Sized","Divorced",2,0,3,4,2,3,3,2,2,2,4,2,2,1,2,2,3,1,3,2,3,5,3,1,2,2,3,2,3,2,3,2,2,3,1,2,3,2,2,2,4,3,2,2,4,4,2,"yes","yes",3,2.4,2.35,2.8,0.92,"VHigh"
"United States",45,"Male","No Kids","ma","unemployed",55000,"Unemployed",0,6,"Large Town","Single",0,0,2,4,4,4,4,2,2,5,2,4,1,3,3,4,3,5,3,4,2,5,4,5,5,3,4,4,5,3,5,4,3,5,3,5,4,5,4,4,4,4,3,4,4,4,5,"yes","yes",3.6,3.2,4.15,4,0.92,"VHigh"
"United States",45,"Male","Yes Kids","deg","full-time",87500,"Computer Systems Analyst",17,0,"Medium-Sized","Married",2,0,3,3,2,2,2,1,1,3,3,2,3,4,3,2,3,3,3,3,2,3,3,2,4,5,2,2,3,3,4,3,2,3,3,3,4,4,4,3,2,4,3,3,3,4,4,"yes","yes",2.4,2.6,3.15,3.4,0.92,"VHigh"
"United States",45,"Male","Yes Kids","phd","full-time",55000,"IT Administrator",1,2,"Small Town","Married",1,3,3,3,4,4,4,5,5,5,5,4,3,5,4,4,4,5,5,5,3,5,5,4,4,4,4,3,3,4,4,3,4,4,5,3,4,5,4,4,4,4,2,2,2,1,1,"yes","yes",3.6,4.46666666666667,3.95,1.6,0.92,"VHigh"
"United States",45,"Female","Yes Kids","deg","full-time",150000,"engineer",28,0,"Medium-Sized","Married",0,1,3,3,4,3,3,1,1,1,4,3,2,3,2,2,3,2,3,2,2,3,3,1,2,3,3,3,3,4,4,1,4,4,1,1,3,3,3,2,2,2,3,3,4,4,3,"yes","no",3.2,2.26666666666667,2.6,3.4,0.92,"VHigh"
"United States",55,"Male","Yes Kids","deg","full-time",150000,"Executive Vice President / Senior Lender",2,4,"Small Town","Married",1,1,3,3,2,2,2,2,2,5,2,2,2,2,3,3,3,2,2,3,2,4,4,3,2,2,3,3,3,2,3,2,4,4,4,4,3,3,3,3,3,2,3,2,3,4,2,"yes","no",2.4,2.6,3,2.8,0.92,"VHigh"
"United States",45,"Female","Yes Kids","phd","part-time",35000,"Attorney",13,0,"Medium-Sized","Married",1,1,5,5,4,4,4,2,3,5,5,3,3,5,4,3,5,3,4,4,3,3,1,3,5,4,5,2,4,4,4,3,3,3,2,4,4,3,4,4,4,4,1,1,2,1,1,"yes","yes",4.4,3.66666666666667,3.5,1.2,0.92,"VHigh"
"United States",25,"Female","No Kids","ma","full-time",35000," Communications",0,1,"Large-City","Single",0,0,3,2,3,3,4,1,3,3,4,3,2,3,3,2,3,2,4,4,4,3,3,2,2,4,2,3,2,3,2,2,4,3,3,2,3,4,3,3,4,4,3,3,3,3,3,"yes","yes",3,2.93333333333333,2.9,3,0.92,"VHigh"
"United States",55,"Male","Yes Kids","ma","full-time",150000,"Software Developer",23,4,"Small City","Married",0,2,2,3,4,3,3,1,1,5,3,2,1,2,3,4,2,5,3,3,2,3,3,1,2,5,1,5,2,4,2,2,3,2,5,4,3,2,3,3,2,3,2,2,2,4,2,"no","no",3,2.66666666666667,2.85,2.4,0.92,"VHigh"
"United States",25,"Female","No Kids","ma","unemployed",15000," houswife",1,0,"Small Town","Married",0,0,2,3,2,1,1,1,3,3,3,2,1,1,2,1,2,2,3,3,4,2,2,1,3,2,3,2,2,3,2,2,4,3,2,3,2,1,1,3,2,1,4,4,4,5,5,"no","no",1.8,2.2,2.2,4.4,0.92,"VHigh"
"United States",55,"Male","No Kids","deg","full-time",87500,"Technical Writer",0,8,"Large Town","Divorced",0,0,3,2,2,1,1,1,1,5,3,2,1,1,4,1,3,2,1,2,1,1,3,2,2,4,1,2,2,3,3,1,2,3,1,2,3,2,3,3,3,3,3,3,4,3,3,"yes","no",1.8,1.93333333333333,2.4,3.2,0.92,"VHigh"
"United States",28,"Female","No Kids","ltuni","full-time",25000,"Supervisor",0,6,"Medium-Sized","Single",0,0,5,5,5,4,4,2,1,5,1,1,1,4,2,4,4,4,2,2,1,2,5,1,5,5,1,5,1,5,1,1,3,5,5,5,4,5,5,4,5,4,1,3,4,3,1,"yes","no",4.6,2.4,3.75,2.4,0.92,"VHigh"
"United States",32.5,"Female","No Kids","ma","full-time",55000,"Director of Academic Affairs",2,6,"Large-City","Single",0,0,1,1,1,1,1,3,3,5,4,1,4,1,4,1,3,5,4,2,5,4,2,1,1,5,4,2,3,2,4,2,3,3,4,1,4,4,3,2,1,5,4,4,5,5,3,"yes","yes",1,3.26666666666667,2.8,4.2,0.92,"VHigh"
"United States",45,"Male","Yes Kids","phd","unemployed",10000,"Missing",2,0,"Medium-Sized","Married",1,1,4,3,4,4,4,1,1,2,3,2,2,4,2,1,3,1,2,1,2,1,5,1,3,2,2,2,2,3,4,2,1,4,1,3,4,3,2,5,4,4,4,3,5,5,4,"yes","no",3.8,1.86666666666667,2.85,4.2,0.92,"VHigh"
"United States",28,"Female","No Kids","deg","full-time",45000,"Journalist",2,2,"Small City","Single",0,0,5,4,4,4,4,3,5,3,4,5,5,5,5,5,5,3,3,4,4,5,5,4,4,5,3,4,5,3,5,5,4,5,2,3,5,5,5,5,5,5,2,3,2,2,1,"yes","yes",4.2,4.26666666666667,4.35,2,0.92,"VHigh"
"United States",28,"Female","No Kids","phd","full-time",55000,"Missing",1,8,"Large-City","Single",0,0,5,5,3,3,2,2,1,4,1,1,1,2,4,2,4,3,1,4,2,2,5,5,3,5,1,2,4,3,5,2,2,4,4,3,3,4,4,4,5,4,2,5,1,2,2,"yes","yes",3.6,2.26666666666667,3.6,2.4,0.92,"VHigh"
"United States",55,"Male","Yes Kids","phd","full-time",250000,"Doctor; Physician",17,0,"Large-City","Married",0,2,3,3,3,2,2,1,1,3,2,3,2,3,3,2,2,5,2,1,1,3,3,2,2,1,3,3,2,3,3,2,3,3,1,3,3,4,3,3,3,3,2,2,2,2,2,"yes","yes",2.6,2.26666666666667,2.65,2,0.92,"VHigh"
"United States",24,"Male","No Kids","deg","full-time",67500,"Attorney",0,2,"Small City","Married",0,0,4,5,4,5,4,3,2,4,1,5,5,2,5,4,4,4,3,4,2,5,5,2,3,3,3,2,5,3,5,2,4,5,2,3,5,4,3,5,5,4,4,4,4,4,4,"yes","yes",4.4,3.53333333333333,3.65,4,0.92,"VHigh"
"United States",55,"Female","Yes Kids","high","full-time",35000,"Graphic Designer",9,3,"Medium-Sized","Divorced",1,1,4,3,5,3,3,1,1,4,2,2,1,2,2,1,3,2,2,2,2,2,3,2,3,2,1,2,3,3,3,2,2,2,2,4,2,4,2,2,3,3,3,2,2,3,3,"yes","yes",3.6,1.93333333333333,2.5,2.6,0.92,"VHigh"
"United States",67.5,"Male","No Kids","ltuni","retired",10000,"Missing",12,0,"Small City","Single",0,0,3,3,3,3,3,2,2,5,2,2,1,2,3,3,2,3,4,3,3,3,3,1,3,2,3,4,3,3,3,3,3,3,4,3,3,2,2,3,3,4,4,2,3,2,3,"yes","no",3,2.66666666666667,2.9,2.8,0.92,"VHigh"
"United States",55,"Female","Yes Kids","deg","full-time",67500,"Nurse",1,7,"Large Town","Divorced",0,1,2,4,2,3,3,4,4,5,4,4,3,5,5,4,5,3,4,4,4,5,5,3,4,2,5,5,5,3,5,5,5,5,5,4,4,2,2,3,5,5,3,4,4,5,5,"yes","yes",2.8,4.2,4.1,4.2,0.92,"VHigh"
"United States",32.5,"Female","No Kids","ma","student",15000,"Missing",6,0,"Large-City","Single",0,0,4,5,5,3,3,4,2,4,2,4,2,3,5,5,4,2,2,3,2,3,3,3,2,2,4,2,3,5,4,2,2,4,3,3,5,3,3,4,3,4,3,3,3,3,3,"yes","Missing",4,3.13333333333333,3.2,3,0.92,"VHigh"
"United States",37.5,"Female","No Kids","phd","full-time",67500,"Editor",10,0,"Large-City","Divorced",0,0,5,5,5,2,2,2,2,2,4,4,3,3,3,2,4,3,4,4,4,3,4,2,4,5,2,3,3,4,2,4,4,3,4,3,3,4,3,4,3,3,4,4,5,5,4,"yes","no",3.8,3.13333333333333,3.35,4.4,0.92,"VHigh"
"United States",21,"Female","No Kids","deg","student",10000,"Teacher assistant",2,0,"Large-City","Single",0,0,3,2,3,2,2,2,2,5,5,1,3,2,4,2,3,4,5,3,4,4,2,1,2,5,5,4,2,3,1,2,4,1,2,5,3,3,3,1,2,1,3,4,5,5,5,"no","no",2.4,3.26666666666667,2.6,4.4,0.92,"VHigh"
"United States",32.5,"Female","No Kids","phd","full-time",67500,"engineer",1,0,"Small City","Married",0,0,4,2,2,1,1,2,2,4,2,2,2,1,3,2,3,3,4,4,2,3,3,3,2,5,4,4,4,3,3,3,4,4,4,5,4,4,4,4,4,5,4,5,4,4,5,"yes","no",2,2.6,3.8,4.4,0.92,"VHigh"
"United States",28,"Female","No Kids","phd","full-time",35000,"Research Scientist",0,1,"Small City","Married",0,0,3,3,2,1,1,1,1,2,2,2,2,3,3,1,4,2,1,1,1,2,4,3,2,4,2,2,3,4,4,3,2,5,1,2,3,3,3,4,4,4,3,4,3,4,4,"yes","yes",2,1.86666666666667,3.1,3.6,0.92,"VHigh"
"United States",37.5,"Female","No Kids","ma","full-time",87500,"Librarian",2,0,"Large-City","Married",0,0,2,3,3,2,2,1,1,1,2,1,2,1,1,1,2,2,1,3,2,1,2,1,1,2,2,2,1,2,1,1,4,1,1,1,1,3,1,1,2,1,3,3,4,4,3,"no","no",2.4,1.46666666666667,1.55,3.4,0.92,"VHigh"
"United States",28,"Female","No Kids","ma","full-time",150000,"Project Manager",0,9,"Medium-Sized","Single",0,0,3,2,3,1,1,2,2,4,2,2,2,2,4,2,2,2,2,4,2,2,4,2,4,4,2,2,5,3,5,2,4,4,4,4,3,4,4,3,3,5,3,3,3,4,4,"yes","yes",2,2.4,3.55,3.4,0.92,"VHigh"
"United States",45,"Female","No Kids","deg","full-time",25000,"Lab Director/Archeologist",6,0,"Large-City","Married",0,0,5,4,3,3,1,1,1,2,3,4,3,2,4,4,4,3,2,3,2,3,2,1,1,3,1,1,4,2,4,3,3,4,1,2,4,5,3,2,3,2,4,4,4,4,4,"yes","no",3.2,2.73333333333333,2.55,4,0.92,"VHigh"
"United States",28,"Female","No Kids","ma","full-time",25000,"Temp",0,1,"Large-City","Single",0,0,4,1,4,4,4,1,2,1,4,4,3,4,5,3,4,2,4,3,2,2,3,1,1,5,2,2,3,4,4,3,4,4,1,3,5,3,3,4,3,3,3,4,2,3,2,"yes","yes",3.4,2.93333333333333,3.05,2.8,0.92,"VHigh"
"United States",23,"Female","Yes Kids","ltuni","full-time",67500,"Production Operations Support Analyst",1,0,"Large Town","Single",0,1,2,1,2,1,1,1,1,3,3,1,4,3,2,2,2,1,2,1,3,2,3,1,1,2,2,1,2,2,3,3,3,3,1,2,1,2,2,2,2,2,3,3,3,3,3,"yes","no",1.4,2.06666666666667,2,3,0.92,"VHigh"
"United States",19,"Female","No Kids","ltuni","student",10000,"Missing",NA,0,"Large-City","Single",0,0,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,3,3,1,1,1,3,2,3,2,2,2,2,4,2,2,2,2,1,2,2,2,4,4,5,5,5,"yes","no",2,1.73333333333333,2.05,4.6,0.92,"VHigh"
"United States",23,"Female","No Kids","ltuni","part-time",10000,"Educator/Student",2,6,"Large Town","Single",0,0,3,3,1,1,1,1,3,4,4,4,1,2,5,4,5,1,4,3,4,3,5,1,3,4,2,3,3,2,4,5,5,4,3,3,5,3,3,5,2,3,3,4,3,4,3,"yes","yes",1.8,3.2,3.4,3.4,0.92,"VHigh"
"United States",55,"Female","No Kids","ma","full-time",87500,"Missing",28,0,"Large Town","Widowed",0,0,3,1,1,1,1,1,1,3,3,3,2,1,2,2,2,3,1,2,2,1,2,1,1,3,3,4,3,2,3,1,4,3,3,2,4,4,1,2,1,2,1,1,1,3,1,"no","no",1.4,1.93333333333333,2.45,1.4,0.92,"VHigh"
"United States",32.5,"Female","No Kids","ma","full-time",35000," teacher",3,6,"Medium-Sized","Divorced",0,0,1,1,1,1,1,2,2,5,4,1,1,1,3,1,2,2,3,3,1,3,3,1,1,1,2,2,1,1,1,2,2,3,3,2,4,5,3,1,1,5,5,5,5,5,4,"yes","no",1,2.26666666666667,2.2,4.8,0.92,"VHigh"
"United States",19,"Male","No Kids","ltuni","unemployed",-0.01,"Missing",1,0,"Large Town","Single",0,0,4,4,3,3,3,4,3,5,3,3,2,5,5,3,5,4,4,4,3,3,3,3,4,3,2,2,4,4,5,3,3,5,4,3,5,4,4,2,3,4,3,2,3,3,1,"yes","yes",3.4,3.73333333333333,3.5,2.4,0.92,"VHigh"
